Date,Open,High,Low,Close,Adj Close,Volume
2010-02-10,157.500000,161.744995,156.399994,159.354996,143.864716,13866680
2010-02-11,160.399994,163.300003,159.000000,159.800003,144.266479,7269690
2010-02-15,159.699997,161.970001,158.250000,161.380005,145.692871,4802490
2010-02-16,160.500000,162.270004,159.000000,160.639999,145.024811,7174850
2010-02-17,161.800003,166.095001,161.490005,165.595001,149.498199,12398340
2010-02-18,166.490005,169.000000,165.074997,168.375000,152.007919,10004420
2010-02-19,167.000000,170.000000,165.610001,169.389999,152.924271,7345990
2010-02-22,170.100006,171.970001,169.000000,169.660004,153.168015,6640170
2010-02-23,168.505005,170.884995,168.235001,170.100006,153.565247,6472890
2010-02-24,169.000000,171.000000,168.750000,170.050003,153.520126,5605690
2010-02-25,170.100006,170.399994,168.199997,169.104996,152.666946,5836970
2010-02-26,169.000000,173.475006,168.000000,170.479996,153.908310,9351030
2010-03-02,172.399994,175.600006,170.600006,174.494995,157.533051,7714650
2010-03-03,174.255005,178.100006,174.255005,177.664993,160.394882,11147960
2010-03-04,177.500000,178.699997,175.309998,178.115005,160.801147,13514420
2010-03-05,178.554993,179.500000,177.100006,178.399994,161.058441,10449650
2010-03-08,181.000000,181.000000,177.289993,178.419998,161.076508,7372960
2010-03-09,177.500000,181.500000,177.500000,181.119995,163.514069,12397690
2010-03-10,181.199997,181.990005,172.990005,181.445007,163.807465,14960560
2010-03-11,181.600006,183.500000,180.309998,182.695007,164.935974,7745230
2010-03-12,182.699997,183.039993,178.634995,180.125000,162.615784,7472440
2010-03-15,178.000000,182.000000,178.000000,181.255005,163.635941,7512960
2010-03-16,180.500000,180.990005,176.399994,180.460007,162.918198,10436250
2010-03-17,180.460007,182.479996,179.809998,180.770004,163.198074,4794840
2010-03-18,181.240005,181.240005,179.050003,180.089996,162.584167,3501970
2010-03-19,181.479996,182.479996,179.764999,181.985001,164.294952,6339840
2010-03-22,180.199997,185.500000,179.800003,183.710007,165.852264,15305610
2010-03-23,183.500000,189.000000,183.500000,188.399994,170.086349,10154380
2010-03-25,188.000000,193.000000,187.020004,192.615005,173.891678,23296400
2010-03-26,193.100006,196.559998,191.309998,195.145004,176.175735,11552860
2010-03-29,162.884995,199.000000,162.884995,196.505005,177.403549,13226710
2010-03-30,196.500000,196.990005,190.139999,190.684998,172.149277,9369980
2010-03-31,190.000000,194.289993,189.725006,193.350006,174.555222,6826080
2010-04-01,195.000000,195.000000,192.610001,193.925003,175.074310,7409220
2010-04-05,195.880005,195.960007,192.440002,194.850006,175.909424,7123840
2010-04-06,195.000000,195.000000,192.539993,193.289993,174.501038,4421440
2010-04-07,194.000000,194.794998,192.600006,193.175003,174.397232,5378050
2010-04-08,192.990005,192.990005,189.380005,190.279999,171.783661,6238830
2010-04-09,189.050003,195.699997,189.050003,194.934998,175.986130,6207650
2010-04-12,193.869995,196.789993,193.869995,195.419998,176.424026,4570640
2010-04-13,195.000000,196.289993,193.100006,195.169998,176.198273,6341300
2010-04-15,195.500000,197.490005,194.419998,195.705002,176.681290,9547360
2010-04-16,194.500000,197.440002,192.600006,196.425003,177.331329,5232560
2010-04-19,195.000000,195.880005,192.600006,193.410004,174.609390,6120830
2010-04-20,192.899994,195.695007,192.899994,194.455002,175.552765,5439320
2010-04-21,194.899994,196.000000,193.500000,194.100006,175.232330,3944500
2010-04-22,193.880005,197.000000,190.804993,193.414993,174.613907,6895110
2010-04-23,193.500000,195.705002,192.865005,195.179993,176.207321,5317060
2010-04-26,195.770004,199.690002,195.770004,198.960007,179.619873,7898280
2010-04-27,198.899994,199.600006,196.779999,197.955002,178.712570,4484470
2010-04-28,195.800003,198.675003,195.800003,196.815002,177.683395,5711770
2010-04-29,197.190002,199.500000,194.645004,198.574997,179.272308,9396450
2010-04-30,199.804993,201.000000,198.300003,200.044998,180.599411,7109610
2010-05-03,198.500000,198.500000,196.210007,196.979996,177.832367,5007070
2010-05-04,198.479996,198.479996,193.220001,193.699997,174.871201,4588960
2010-05-05,193.199997,193.369995,188.009995,191.634995,173.006912,8014270
2010-05-06,190.500000,191.600006,187.699997,189.550003,171.124603,5261230
2010-05-07,187.100006,187.500000,183.600006,184.804993,166.840836,9785810
2010-05-10,186.324997,193.800003,183.000000,193.419998,174.618408,6426540
2010-05-11,193.800003,195.500000,191.324997,194.830002,175.891342,6964650
2010-05-12,194.899994,198.100006,194.899994,197.490005,178.292786,6870820
2010-05-13,198.119995,199.500000,195.020004,196.535004,177.430618,6372190
2010-05-14,196.399994,197.300003,194.225006,195.175003,176.202820,4700150
2010-05-17,194.199997,194.679993,191.449997,192.884995,174.135422,6603600
2010-05-18,191.800003,192.500000,189.020004,189.580002,171.151672,6121560
2010-05-19,187.899994,188.800003,184.160004,186.854996,168.691544,9090080
